,Title,sadness,anticipation,Fun,Love
5578,you can cry,4.0,8.0,0.0,0.0
5630,i know you,3.0,3.0,0.0,1.0
5646,hear me now,2.0,0.0,0.0,0.0
5681,one too many,0.0,0.0,0.0,0.0
5689,ill be home,1.0,1.0,0.0,1.0
5710,kiss and make up,4.0,2.0,0.0,0.0
5747,6 kiss,9.0,2.0,0.0,0.0
5785,who dat boy,7.0,7.0,0.0,0.0
5792,34+35,3.0,3.0,0.0,0.0
5827,wheels on the bus,1.0,0.0,1.0,0.0
5842,intro,0.0,1.0,0.0,0.0
5857,out of my head,2.0,2.0,0.0,0.0
5888,young and menace,3.0,4.0,0.0,0.0
5902,bullet in a gun,2.0,3.0,0.0,0.0
5919,all my love,1.0,2.0,0.0,1.0
5958,shining,1.0,3.0,0.0,0.0
5977,told you so,1.0,0.0,0.0,0.0
6002,100 miles and running,12.0,16.0,0.0,0.0
6005,delicate,2.0,3.0,0.0,0.0
6038,temptation,0.0,0.0,0.0,0.0
6043,watermelon sugar,0.0,0.0,0.0,0.0
6107,money trees,12.0,12.0,0.0,0.0
6116,bluffin,4.0,0.0,0.0,0.0
6123,fake,3.0,3.0,0.0,0.0
6141,the ocean,1.0,3.0,0.0,0.0
6200,mos definitely,6.0,7.0,0.0,0.0
6203,mia,2.0,0.0,0.0,0.0
6238,love is gone,2.0,0.0,0.0,1.0
6245,hearts dont break around here,0.0,3.0,0.0,0.0
6341,lie to me,4.0,2.0,0.0,0.0
6381,patek water,6.0,5.0,0.0,0.0
6436,let me love you,2.0,2.0,0.0,1.0
6482,she looks like fun,1.0,6.0,0.0,0.0
6503,self care,4.0,5.0,0.0,0.0
6526,a different way,3.0,1.0,0.0,1.0
6557,down bad,12.0,7.0,0.0,0.0
6566,two of us,1.0,1.0,0.0,1.0
6598,i am,5.0,6.0,0.0,1.0
6616,nice for what,4.0,1.0,0.0,0.0
6632,malibu,2.0,1.0,0.0,0.0
6660,righteous,5.0,7.0,0.0,0.0
6707,blowing smoke,2.0,4.0,1.0,0.0
6710,lover,2.0,2.0,0.0,1.0
6743,bed,0.0,7.0,0.0,0.0
6801,jingle bell rock,0.0,2.0,0.0,0.0
6852,5 hooks,7.0,9.0,0.0,0.0
6873,e.t.a.,1.0,4.0,0.0,0.0
6890,grace,8.0,4.0,0.0,0.0
6897,midnight,6.0,2.0,0.0,0.0
6914,sincerity is scary,4.0,3.0,0.0,0.0
6941,candy paint,4.0,5.0,0.0,0.0
6990,the thrill of it all,5.0,0.0,0.0,0.0
7012,someone said,5.0,9.0,1.0,0.0
7021,stunnin,2.0,4.0,0.0,0.0
7027,crown the kings,4.0,6.0,0.0,0.0
7033,starships,1.0,6.0,1.0,0.0
7097,original me,3.0,2.0,0.0,0.0
7111,let me live,1.0,1.0,0.0,0.0
7133,the reaper,6.0,5.0,0.0,0.0
7139,stoopid,4.0,2.0,0.0,0.0
7160,why,2.0,2.0,0.0,0.0
7232,hit my line,3.0,7.0,0.0,0.0
7252,scars,1.0,1.0,0.0,1.0
7351,safety net,2.0,6.0,0.0,0.0
7385,yell oh,1.0,4.0,0.0,0.0
7390,wild life,1.0,5.0,0.0,0.0
7398,shut up,5.0,5.0,0.0,0.0
7431,lotus,4.0,6.0,0.0,0.0
7506,face to face,2.0,2.0,0.0,0.0
7552,bad at love,6.0,5.0,0.0,0.0
7601,who needs love,4.0,5.0,0.0,0.0
7614,what about me,3.0,1.0,0.0,0.0
7634,how u feel,1.0,3.0,1.0,0.0
7637,i can see,3.0,2.0,0.0,0.0
7654,mona lisa,6.0,3.0,0.0,1.0
7679,mob ties,7.0,7.0,1.0,0.0
7706,go stupid,8.0,11.0,0.0,0.0
7715,when i grow up,7.0,10.0,0.0,0.0
7720,mine,2.0,2.0,0.0,0.0
7755,suicidal,5.0,4.0,0.0,1.0
7782,wasted,4.0,4.0,0.0,0.0
7815,hide,4.0,1.0,0.0,0.0
7820,i hate everybody,5.0,1.0,0.0,0.0
7822,the greatest show,6.0,3.0,0.0,0.0
7876,all i want,2.0,1.0,0.0,1.0
7914,everybody dies in their nightmares,5.0,2.0,0.0,0.0
7961,barbie dreams,7.0,5.0,0.0,0.0
7979,bleed it out,1.0,2.0,0.0,1.0
8017,birth of the cruel,8.0,4.0,0.0,0.0
8025,royalty,5.0,3.0,0.0,0.0
8036,come thru,3.0,1.0,0.0,0.0
8071,flex,3.0,2.0,1.0,0.0
8085,hell and high water,4.0,2.0,0.0,0.0
8099,beer never broke my heart,3.0,2.0,0.0,0.0
8111,praying,1.0,4.0,0.0,0.0
8161,dancing in the dark,1.0,1.0,0.0,0.0
8181,taki taki,6.0,6.0,0.0,0.0
8216,wait,1.0,4.0,0.0,1.0
8245,igors theme,0.0,1.0,1.0,0.0
8268,crazy in love,6.0,8.0,1.0,0.0
8320,dance to this,0.0,2.0,0.0,0.0
8414,stay flo,1.0,0.0,0.0,0.0
8426,unsainted,7.0,7.0,0.0,0.0
8439,always forever,2.0,1.0,0.0,0.0
8445,black & chinese,6.0,2.0,0.0,0.0
8457,zombie,1.0,1.0,0.0,0.0
8506,rondo,6.0,4.0,0.0,0.0
8511,lot to learn,6.0,2.0,0.0,0.0
8535,let it all work out,6.0,7.0,0.0,0.0
8538,girls need love  - remix,4.0,4.0,0.0,0.0
8556,fly,0.0,1.0,0.0,0.0
8567,sup mate,5.0,5.0,1.0,0.0
8624,talk about it,2.0,0.0,0.0,0.0
8635,mood 4 eva,6.0,6.0,0.0,0.0
8655,pineapple,2.0,4.0,0.0,0.0
8664,no more,5.0,4.0,0.0,0.0
8673,keke,2.0,5.0,0.0,0.0
8700,deep end freestyle,4.0,2.0,0.0,0.0
8716,a lot,13.0,7.0,0.0,0.0
8766,you was right,3.0,4.0,0.0,0.0
8769,high hopes,3.0,4.0,0.0,0.0
8798,its you,3.0,0.0,0.0,0.0
8843,before you go,3.0,2.0,0.0,0.0
8876,if walls could talk,1.0,2.0,0.0,0.0
8884,savage love,0.0,5.0,0.0,0.0
8913,champagne rosé,1.0,4.0,1.0,0.0
8917,thru these tears,1.0,2.0,0.0,0.0
8925,creeping,6.0,5.0,0.0,0.0
8928,all we got,4.0,2.0,0.0,0.0
8931,in your eyes,2.0,2.0,0.0,0.0
9004,wake up call,5.0,2.0,0.0,0.0
9027,weather the storm,5.0,4.0,0.0,0.0
9031,devastated,0.0,3.0,0.0,0.0
9051,criminal,3.0,2.0,0.0,0.0
9066,jerry sprunger,3.0,3.0,0.0,0.0
9071,unfair,1.0,0.0,0.0,0.0
9075,darkside,3.0,3.0,0.0,0.0
9118,moral of the story,2.0,3.0,0.0,0.0
9164,movin too fast,3.0,3.0,0.0,0.0
9169,trollz,5.0,10.0,0.0,0.0
9195,your man,2.0,2.0,0.0,0.0
9210,tick tock,3.0,2.0,0.0,0.0
9219,wildflowers,1.0,1.0,0.0,0.0
9225,mirrorball,1.0,2.0,0.0,0.0
9255,you owe me,1.0,5.0,1.0,0.0
9315,confirmation,1.0,1.0,1.0,0.0
9332,kraazy,4.0,3.0,0.0,0.0
9345,you let me walk alone,0.0,2.0,0.0,1.0
9358,kiss kiss,4.0,4.0,0.0,1.0
9420,im upset,1.0,7.0,0.0,0.0
9445,we got the power,1.0,5.0,1.0,0.0
9495,killing spree,3.0,4.0,0.0,0.0
9496,believer,7.0,4.0,0.0,0.0
9523,bodak yellow,1.0,2.0,0.0,0.0
9538,younger now,0.0,1.0,0.0,0.0
9564,be somebody,2.0,2.0,0.0,0.0
9574,#proudcatownerremix,6.0,7.0,0.0,0.0
9710,too late for love,2.0,1.0,0.0,0.0
9741,woah,5.0,3.0,0.0,0.0
9751,sleepy hollow,3.0,1.0,0.0,0.0
9755,steal my girl,1.0,3.0,0.0,0.0
9775,love galore,4.0,1.0,0.0,0.0
9790,just the way you are,0.0,3.0,0.0,0.0
9814,gooba,5.0,2.0,0.0,0.0
9847,rip roach,7.0,4.0,0.0,0.0
9878,burnin up,1.0,0.0,0.0,0.0
9892,end of discussion,4.0,6.0,0.0,0.0
9999,american girl,2.0,0.0,0.0,0.0
10007,bring u down,3.0,2.0,0.0,0.0
10010,sky walker,3.0,6.0,1.0,0.0
10022,no shame,1.0,1.0,0.0,1.0
10055,lets link,4.0,3.0,0.0,0.0
10063,reminder,5.0,8.0,0.0,0.0
10083,fallin all in you,2.0,3.0,0.0,1.0
10109,taste,1.0,3.0,0.0,0.0
10124,shotgun,3.0,4.0,0.0,0.0
10150,runaway,3.0,3.0,0.0,1.0
10162,im the one,6.0,6.0,0.0,0.0
10197,august,4.0,2.0,0.0,0.0
10258,double up,4.0,3.0,1.0,0.0
10262,electricity,2.0,2.0,0.0,0.0
10302,listen before i go,1.0,2.0,0.0,0.0
10329,faded,1.0,0.0,0.0,0.0
10363,all we know,2.0,0.0,0.0,0.0
10398,perfecto,5.0,5.0,0.0,0.0
10427,notice me,2.0,1.0,0.0,0.0
10441,honest,2.0,2.0,0.0,0.0
10480,crazy over you,3.0,2.0,0.0,0.0
10553,saint laurent mask,2.0,4.0,0.0,0.0
10572,whatever it takes,7.0,5.0,0.0,0.0
10604,steppin on niggas,2.0,2.0,0.0,0.0
10652,here,2.0,6.0,0.0,0.0
10660,til the end of time,3.0,2.0,0.0,0.0
10715,draft day,10.0,9.0,0.0,0.0
10719,still learning,2.0,0.0,0.0,1.0
10740,whoa,0.0,1.0,0.0,0.0
10786,natural,5.0,2.0,0.0,0.0
10821,trampoline,3.0,2.0,0.0,1.0
10832,to my grave,4.0,3.0,0.0,0.0
10858,come out and play,3.0,3.0,0.0,0.0
10887,black and white,5.0,7.0,0.0,0.0
10913,cool out,2.0,1.0,0.0,0.0
10948,bigger than life,6.0,2.0,0.0,0.0
10963,butterfly doors,6.0,0.0,0.0,0.0
10989,falling,6.0,3.0,0.0,0.0
11029,beautiful,2.0,2.0,0.0,0.0
11042,stay,1.0,1.0,0.0,0.0
11065,nervous,0.0,3.0,0.0,0.0
11110,wiggle it,5.0,4.0,0.0,0.0
11149,blazed,0.0,2.0,0.0,1.0
11187,let me,1.0,3.0,0.0,1.0
11231,how would you feel,1.0,2.0,0.0,1.0
11284,staring at the sky,0.0,0.0,0.0,0.0
11312,sanctuary,2.0,4.0,0.0,1.0
11320,stargazing,1.0,1.0,0.0,1.0
11361,motiv8,1.0,6.0,0.0,0.0
11433,liability,3.0,5.0,0.0,0.0
11461,enemies,1.0,0.0,0.0,0.0
11480,one touch,3.0,0.0,0.0,1.0
11497,pray,2.0,2.0,0.0,0.0
11515,say a,6.0,6.0,0.0,0.0
11535,ayy macarena,6.0,1.0,0.0,0.0
11564,i dont belong in this club,3.0,2.0,0.0,0.0
11587,power over me,4.0,3.0,0.0,0.0
11601,too many years,5.0,3.0,0.0,0.0
11604,dont stay,1.0,0.0,0.0,0.0
11635,teeth,4.0,4.0,0.0,1.0
11669,strobelite,2.0,1.0,0.0,0.0
11686,home,0.0,3.0,0.0,0.0
11730,pick up the phone,3.0,6.0,0.0,0.0
11757,no mistakes,3.0,7.0,0.0,0.0
11806,youre beautiful,1.0,4.0,0.0,1.0
11840,i try,1.0,1.0,0.0,1.0
11926,how did i get here,5.0,14.0,0.0,0.0
11943,find my way,8.0,10.0,0.0,0.0
11980,love lies,1.0,2.0,0.0,0.0
12012,no guidance,4.0,10.0,0.0,0.0
12040,a million dreams,4.0,1.0,0.0,0.0
12120,driving home for christmas,1.0,4.0,0.0,1.0
12144,issues,3.0,1.0,0.0,0.0
12157,apeshit,2.0,1.0,0.0,0.0
12186,walk on water,3.0,2.0,0.0,0.0
12231,what about us,2.0,4.0,0.0,0.0
12263,instant destiny,1.0,1.0,0.0,0.0
12272,met gala,2.0,4.0,0.0,0.0
12275,funeral,2.0,4.0,0.0,0.0
12309,baby,0.0,4.0,0.0,1.0
12329,fukk sleep,3.0,5.0,0.0,0.0
12348,dark queen,4.0,2.0,0.0,0.0
12391,love someone,1.0,1.0,0.0,1.0
12418,broke in a minute,4.0,1.0,0.0,0.0
12422,put me back together,1.0,2.0,0.0,0.0
12440,let it go,1.0,4.0,0.0,0.0
12463,no limit,7.0,1.0,0.0,0.0
12488,aim for the moon,5.0,4.0,0.0,0.0
12506,the git up,2.0,4.0,1.0,0.0
12522,ice tray,3.0,8.0,0.0,0.0
12538,happier,2.0,1.0,0.0,0.0
12577,something just like this - tokyo remix,0.0,2.0,0.0,0.0
12597,pop out,1.0,3.0,0.0,0.0
12620,no promises,2.0,2.0,0.0,0.0
12655,sine from above,2.0,2.0,0.0,1.0
12682,boom!,9.0,5.0,0.0,0.0
12689,government official,3.0,6.0,0.0,0.0
12692,guess what,2.0,4.0,0.0,0.0
12707,two high,0.0,1.0,0.0,0.0
12742,losin control,5.0,2.0,0.0,0.0
12762,love again,1.0,3.0,0.0,0.0
12788,summer bummer,6.0,10.0,0.0,0.0
12798,i,2.0,1.0,0.0,0.0
12811,here comes santa claus,0.0,3.0,0.0,0.0
12825,sleigh ride,3.0,7.0,0.0,0.0
12832,mama,2.0,0.0,0.0,0.0
12848,papi chulo,5.0,3.0,0.0,0.0
12906,sign of the times,1.0,3.0,0.0,1.0
12946,make it to heaven,5.0,4.0,0.0,0.0
12985,status,6.0,4.0,1.0,0.0
12996,biggest alley oop,5.0,5.0,0.0,0.0
13035,hands on,5.0,6.0,0.0,0.0
13079,cudi montage,4.0,4.0,0.0,0.0
13101,comeback,3.0,3.0,0.0,1.0
13115,only want you,3.0,0.0,0.0,0.0
13139,shot in the dark,5.0,1.0,0.0,0.0
13158,ill be home for christmas,0.0,2.0,0.0,1.0
13196,hit different,1.0,1.0,0.0,0.0
13211,beautiful people beautiful problems,1.0,2.0,0.0,0.0
13229,numb,6.0,3.0,0.0,0.0
13262,feel the love,0.0,0.0,0.0,0.0
13314,hitek tek,6.0,4.0,0.0,0.0
13322,under the bridge,2.0,1.0,0.0,0.0
13433,emoji a chain,6.0,6.0,0.0,0.0
13508,you dont know how it feels,0.0,2.0,0.0,0.0
13514,new,3.0,4.0,0.0,0.0
13541,whats poppin,9.0,11.0,0.0,0.0
13572,free spirit,0.0,1.0,0.0,0.0
13585,slow grenade,6.0,3.0,1.0,0.0
13693,winter wonderland,1.0,3.0,0.0,0.0
13713,give yourself a try,2.0,3.0,0.0,0.0
13730,hold me while you wait,2.0,3.0,0.0,1.0
13765,aint livin right,3.0,6.0,0.0,0.0
13777,people,1.0,2.0,0.0,0.0
13781,i love you,0.0,0.0,0.0,0.0
13802,i aint got time!,5.0,8.0,0.0,0.0
13813,moon river,0.0,0.0,0.0,0.0
13841,aint it different,4.0,10.0,1.0,0.0
13852,what christmas means to me,0.0,6.0,0.0,0.0
13881,blow,1.0,6.0,1.0,0.0
13902,bad blood,4.0,3.0,0.0,0.0
13911,man with the bag,0.0,2.0,0.0,0.0
13928,moon relate,5.0,0.0,0.0,0.0
13933,promiscuous,8.0,7.0,0.0,0.0
13943,never be like you,4.0,0.0,0.0,0.0
13987,better,0.0,2.0,0.0,1.0
14069,mercy,0.0,3.0,0.0,0.0
14104,be careful,5.0,5.0,0.0,0.0
14165,midnight train,1.0,1.0,0.0,1.0
14186,eyes closed,0.0,0.0,0.0,0.0
14193,tip toe,4.0,5.0,1.0,0.0
14197,higher we go - intro,4.0,2.0,0.0,0.0
14258,love to hate me,4.0,2.0,0.0,1.0
14283,move ya hips,4.0,1.0,0.0,0.0
14305,havana,0.0,2.0,0.0,0.0
14360,new freezer,2.0,4.0,0.0,0.0
14375,slide around,7.0,4.0,0.0,0.0
14378,ready,0.0,3.0,0.0,0.0
14408,im ready for you,5.0,6.0,0.0,0.0
14434,mad stalkers,10.0,4.0,0.0,0.0
14473,cut you off,0.0,1.0,0.0,0.0
14515,none of your concern,6.0,5.0,0.0,0.0
14518,a brand new day,3.0,2.0,0.0,1.0
14566,bring dem things,2.0,1.0,0.0,0.0
14570,how long - remix,1.0,1.0,0.0,0.0
14630,emotionless,6.0,5.0,0.0,0.0
14664,jesus christ 2005 god bless america,1.0,1.0,0.0,1.0
14692,you should see me in a crown,1.0,2.0,0.0,0.0
14727,adore you,1.0,1.0,0.0,1.0
14761,nothing left for you,3.0,0.0,0.0,1.0
14805,nina cried power,2.0,1.0,0.0,1.0
14838,wish wish,8.0,6.0,0.0,0.0
14848,lean wit me,5.0,5.0,1.0,0.0
14854,king of my city,3.0,3.0,0.0,0.0
14859,desire,0.0,3.0,0.0,0.0
14862,love hurts,2.0,1.0,0.0,0.0
14866,wondo,4.0,2.0,0.0,0.0
14883,solo dance,2.0,0.0,0.0,0.0
14918,particular taste,0.0,1.0,0.0,0.0
14965,middle child,6.0,10.0,0.0,0.0
14968,its beginning to look a lot like christmas,0.0,4.0,0.0,0.0
15001,god is a dancer,4.0,4.0,1.0,0.0
15016,my choppa hate niggas,8.0,2.0,0.0,0.0
15048,you broke me first,2.0,1.0,0.0,0.0
15075,sweet home alabama,3.0,6.0,0.0,1.0
15082,topanga,2.0,1.0,0.0,0.0
15110,sun comes up,2.0,8.0,0.0,1.0
15133,start over,1.0,3.0,0.0,0.0
15150,envy me,4.0,3.0,0.0,0.0
15193,daisies,0.0,1.0,0.0,0.0
